iter	Passed	Remaining
0	151	45179
1	160	23862
2	166	16517
3	175	12977
4	182	10795
5	190	9318
6	197	8248
7	206	7521
8	212	6881
9	220	6407
10	228	6013
11	237	5700
12	245	5414
13	253	5172
14	261	4959
15	273	4859
16	281	4682
17	288	4514
18	296	4378
19	309	4339
20	319	4242
21	336	4248
22	352	4239
23	391	4500
24	408	4498
25	442	4664
26	499	5049
27	565	5494
28	597	5581
29	609	5487
30	629	5463
31	643	5385
32	656	5310
33	671	5251
34	680	5154
35	696	5105
36	706	5024
37	728	5022
38	740	4954
39	751	4883
40	765	4838
41	777	4773
42	782	4674
43	797	4637
44	808	4579
45	821	4533
46	832	4480
47	843	4429
48	857	4391
49	870	4352
50	890	4349
51	904	4314
52	923	4302
53	936	4267
54	953	4247
55	964	4203
56	971	4140
57	979	4087
58	985	4025
59	991	3966
60	997	3907
61	1003	3851
62	1011	3805
63	1018	3754
64	1024	3704
65	1031	3657
66	1041	3620
67	1047	3572
68	1054	3528
69	1060	3483
70	1066	3439
71	1076	3410
72	1082	3366
73	1088	3323
74	1093	3280
75	1098	3238
76	1106	3204
77	1112	3165
78	1117	3126
79	1122	3087
80	1127	3049
81	1133	3013
82	1138	2977
83	1143	2941
84	1148	2906
85	1155	2874
86	1159	2839
87	1165	2806
88	1170	2776
89	1175	2742
90	1180	2711
91	1185	2679
92	1190	2649
93	1195	2620
94	1205	2601
95	1211	2574
96	1215	2544
97	1221	2516
98	1226	2489
99	1233	2466
100	1238	2440
101	1243	2413
102	1249	2389
103	1254	2363
104	1259	2338
105	1265	2316
106	1270	2291
107	1276	2269
108	1282	2247
109	1289	2227
110	1298	2210
111	1312	2203
112	1320	2185
113	1327	2165
114	1334	2146
115	1339	2125
116	1345	2103
117	1350	2082
118	1355	2062
119	1362	2043
120	1369	2025
121	1378	2011
122	1384	1992
123	1391	1975
124	1398	1957
125	1402	1937
126	1410	1921
127	1415	1901
128	1421	1884
129	1429	1868
130	1434	1850
131	1439	1832
132	1445	1814
133	1451	1798
134	1457	1780
135	1462	1763
136	1468	1747
137	1474	1730
138	1479	1713
139	1485	1698
140	1491	1682
141	1496	1665
142	1502	1649
143	1508	1633
144	1513	1617
145	1519	1602
146	1523	1586
147	1528	1569
148	1533	1554
149	1538	1538
150	1543	1523
151	1550	1509
152	1555	1494
153	1562	1481
154	1567	1466
155	1573	1452
156	1582	1441
157	1590	1429
158	1601	1419
159	1609	1408
160	1617	1396
161	1623	1383
162	1630	1370
163	1636	1357
164	1646	1346
165	1652	1334
166	1662	1324
167	1670	1312
168	1677	1300
169	1683	1287
170	1692	1276
171	1698	1263
172	1706	1252
173	1712	1239
174	1721	1229
175	1728	1217
176	1734	1205
177	1741	1193
178	1746	1180
179	1752	1168
180	1758	1155
181	1764	1143
182	1775	1135
183	1783	1124
184	1792	1114
185	1807	1107
186	1813	1095
187	1822	1085
188	1830	1074
189	1837	1064
190	1843	1052
191	1850	1041
192	1857	1029
193	1865	1019
194	1871	1007
195	1878	996
196	1885	985
197	1890	974
198	1899	963
199	1904	952
200	1911	941
201	1917	930
202	1923	919
203	1930	908
204	1937	898
205	1944	887
206	1950	876
207	1956	865
208	1963	854
209	1969	843
210	1976	833
211	1981	822
212	1987	811
213	1994	801
214	1999	790
215	2005	779
216	2010	769
217	2016	758
218	2023	748
219	2028	737
220	2033	726
221	2040	716
222	2046	706
223	2053	696
224	2059	686
225	2065	676
226	2071	666
227	2077	656
228	2085	646
229	2090	636
230	2096	626
231	2102	616
232	2107	606
233	2114	596
234	2121	586
235	2127	576
236	2133	567
237	2139	557
238	2145	547
239	2152	538
240	2159	528
241	2166	519
242	2171	509
243	2178	500
244	2187	491
245	2194	481
246	2201	472
247	2207	462
248	2214	453
249	2220	444
250	2226	434
251	2231	425
252	2237	415
253	2245	406
254	2250	397
255	2257	387
256	2263	378
257	2269	369
258	2277	360
259	2283	351
260	2290	342
261	2295	333
262	2302	323
263	2322	316
264	2334	308
265	2345	299
266	2364	292
267	2373	283
268	2380	274
269	2387	265
270	2393	256
271	2400	247
272	2407	238
273	2416	229
274	2426	220
275	2436	211
276	2442	202
277	2449	193
278	2457	184
279	2464	176
280	2470	167
281	2476	158
282	2483	149
283	2490	140
284	2497	131
285	2503	122
286	2510	113
287	2516	104
288	2522	96
289	2529	87
290	2535	78
291	2543	69
292	2550	60
293	2556	52
294	2562	43
295	2569	34
296	2574	26
297	2580	17
298	2586	8
299	2593	0
